"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Station","Precipitation"
"2025-01-07","7:53 AM","51","49","92","CALM","0","0","29.88","Fair","KTOA","0.0"
"2025-01-07","8:07 AM","51","48","89","CALM","0","0","29.89","Fair","KTOA","0.0"
"2025-01-07","8:53 AM","52","49","89","CALM","0","0","29.89","Fair","KTOA","0.0"
"2025-01-07","9:53 AM","57","49","74","CALM","0","0","29.91","Fair","KTOA","0.0"
"2025-01-07","10:53 AM","65","46","50","CALM","0","0","29.91","Fair","KTOA","0.0"
"2025-01-07","11:53 AM","69","35","29","NE","10","22","29.92","Fair","KTOA","0.0"
"2025-01-07","12:53 PM","71","33","25","VAR","6","20","29.89","Fair","KTOA","0.0"
"2025-01-07","1:53 PM","74","33","22","","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","2:53 PM","74","33","22","","0","0","29.85","Fair","KTOA","0.0"
"2025-01-07","3:53 PM","72","33","24","NNE","13","30","29.86","Fair","KTOA","0.0"
"2025-01-07","4:53 PM","71","32","24","","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","5:53 PM","69","29","22","","0","0","29.87","Fair","KTOA","0.0"
"2025-01-07","6:53 PM","67","27","22","","0","0","29.90","Fair","KTOA","0.0"
"2025-01-07","7:53 PM","67","28","23","","0","0","29.93","Fair","KTOA","0.0"
"2025-01-07","8:53 PM","67","28","23","NE","10","28","29.96","Mostly Cloudy","KTOA","0.0"
"2025-01-07","9:53 PM","66","29","25","NNE","16","35","29.97","Fair","KTOA","0.0"
"2025-01-07","10:53 PM","65","29","26","VAR","6","17","29.98","Cloudy","KTOA","0.0"
"2025-01-07","11:53 PM","64","29","27","VAR","7","0","30.00","Cloudy","KTOA","0.0"
"2025-01-08","12:53 AM","63","17","17","N","6","0","29.99","Cloudy","KTOA","0.0"
